created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 05 02:56:52 +0000 2024;1764847520188956910;"@NoviBudi78 @aniesbaswedan Iya Anies cm capres gagal jd ngapain digibahin mulu. Gak ada kerjaan lain, atau kalimat lain selain omongin Anies. Aneh ya";0;0;0;0;in;1475380640245714946;1764661795393007694;baiqmarfuatun22;https://twitter.com/baiqmarfuatun22/status/1764847520188956910
Tue Mar 05 02:56:20 +0000 2024;1764847385619177769;"Buzer diperpanjang kontrak oleh Capres yang kalah.  Mrk pikir X bisa merubah 16% jadi 60%. 🤣🤣🤣 https://t.co/BPbYsNnigF";1;0;1;1;in;4319618606;1764847385619177769;Dulure_Gibran;https://twitter.com/Dulure_Gibran/status/1764847385619177769
Tue Mar 05 02:56:14 +0000 2024;1764847360084222290;"@capres_2024 mengapa ada kesan kejaksaan melindungi oknum koruptor?  @puanmaharani_ri";0;0;0;0;in;68744564;1764809725479362937;johnguntoro;https://twitter.com/johnguntoro/status/1764847360084222290
Tue Mar 05 02:55:54 +0000 2024;1764847274495205823;"@SungJinwo06 @dwinnura @txtdrpemerintah Saya gak support siapa², yg punya kekuasaan punya Tuhan apa gak bukan urusan saya. Pendukung semua capres emang minta dislepet, tengkar mulu ama sodara sendiri.";0;0;0;1;in;1380141809263779841;1764811910334308458;mistaeribox;https://twitter.com/mistaeribox/status/1764847274495205823
Tue Mar 05 02:54:04 +0000 2024;1764846813906096418;"@prabowo memang AHLInya Pertahanan RI..makanya aneh ada yg SOTOY soal Pertahanan di debat Capres itu..Malah bisa ngasih angka kinerjanya lagi..Luar Biasa";0;0;0;0;in;959232692133875712;1764846813906096418;MIrvanDarwin1;https://twitter.com/MIrvanDarwin1/status/1764846813906096418
Tue Mar 05 02:53:58 +0000 2024;1764846790145347595;"@muharidha @Locati0ns harusnya gunain electoral vote spt di amrik pas Pilpres bwt nentuin siapa capres yg menang.  Kalau dengan sistem sekarang, siapa  megang jateng, jatim dan jabar otomatis memenangkan total perolehan suara.  Ini berpotensi hanyamenguntungkan paslon yg cuma ngandelin populer doang";0;1;0;0;in;1613110647033827328;1764670876925264016;sagi_iman;https://twitter.com/sagi_iman/status/1764846790145347595
Tue Mar 05 02:53:18 +0000 2024;1764846623136629245;"Disini malah ada paslon capres yg mau normalisasi dan kerjasama dibidang militer";0;0;0;0;in;1137184862115287040;1764846623136629245;SyarifAlkadrie3;https://twitter.com/SyarifAlkadrie3/status/1764846623136629245
Tue Mar 05 02:52:14 +0000 2024;1764846352364896546;"Ngomong kalau ga dipikir ya ngene.  Capres ada 3. Berarti semua Capres curang dong. https://t.co/BC4pWyOOPl";0;0;0;0;in;4319618606;1764846352364896546;Dulure_Gibran;https://twitter.com/Dulure_Gibran/status/1764846352364896546
Tue Mar 05 02:49:43 +0000 2024;1764845718328787136;"@saidiman Itu kira2 pendukung capres mn Bng? Wkwk";0;0;0;0;in;450438170;1764539057139593436;Raka_HI12;https://twitter.com/Raka_HI12/status/1764845718328787136
Tue Mar 05 02:47:50 +0000 2024;1764845246314344517;"@sindoe @susipudjiastuti Kalo masalah pak Mahfud, cuma contoh aja.. bakal banyak potensi orang² yang bisa tampil jadi capres kalo PT dihapus misal Rocky Gerung, said Didu, Bambang pacul, Anies , tanpa harus susah payah membentuk koalisi";0;1;0;0;in;1713570042691125248;1764806863605092378;RudyHarton2838;https://twitter.com/RudyHarton2838/status/1764845246314344517
